country,name,longName,foundingDate,population,capital,largestCity,area
1,Cyprus,,7/15/1974,,Nicos,,
2,Mindanao,,10/4/1990,,,,
3,Greec,,8/4/1936,,Athens,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,Abbasids,,,,Abbasid Samarr,,
8,Abbasids,,,,Al-Raqqah,,
9,Abbasids,,,,Baghdad,,
10,Abbasids,,,,Cairo,,
11,Abbasids,,,,Kuf,,
12,,,,,St. Gallen,,
13,"Saint Peter's Abbey, Black Forest",,,,"Sankt Peter, Baden-Württemberg",,
14,Abkhazi,Republic of Abkhazi,6/20/1990,242862,Sukhum,,3344mi
15,Abkhazi,Republic of Abkhazi,8/25/1990,242862,Sukhum,,3344mi
16,Abkhazi,Republic of Abkhazi,8/26/2008,242862,Sukhum,,3344mi
17,Abyei,Abyei Ar,1/9/2005,,Abyei (town),,4072mi
18,Abyei,Abyei Ar,8/31/2008,,Abyei (town),,4072mi
19,Aceh,,,,Banda Aceh,,
20,Achaean Leagu,,,,Aigio,,
21,Persi,,,,Ecbatan,,
22,Persi,,,,Sus,,
23,Persi,,,,Babylon,,
24,Persi,,,,Pasargadae,,
25,Persi,,,,Persepolis,,
26,Achaemenid Macedo,,,,Vergin,,
27,Adal,,,,Dakkar,,
28,Adal,,,,Harar,,
29,Adal,,,,As,,
30,Adamaw,,,,"Yola, Niger",,
31,Adélie Land,Adélie Land,,,,,432000km
32,Ad,,,,,,
33,Adiab,,,,Erb,,
34,Bijapur Adil,,,,"Bijapur district, Karnatak",,
35,Adjar ASSR,,,,,,
36,Adjar,Autonomous Republic of Ajar,,393700,Batum,,1120mi
37,,,,,,,
38,Aeric,Aerican Empir,5/8/1987,,Montre,,9000000km
39,Afghan Interim Authority,,12/22/2001,,Kabu,,
40,Afghan Transitional Authority,,7/13/2002,,Kabu,,
41,Afghanist,Islamic Republic of Afghanist,8/19/1919,32564342,Kabu,Kabu,251827mi
42,Afghanist,font-size:88%;,8/19/1919,32564342,Kabu,Kabu,251827mi
43,,African Free Trade Zone (AFTZ),,,,,
44,,,6/3/1991,1053136000,,N,29865860km
45,,,6/3/1991,1053136000,,Lago,29865860km
46,Khwarmez,,,,,,
47,Persi,,1736-01-22,,Mashhad,,
48,Ağ Qoyunlu,,,,Tabriz,,
49,Ağ Qoyunlu,,,,Diyarbakır,,
50,Aghlabid,,,,,,
51,Ah Canul,,,,Calkiní,,
52,Ah Kin Chel,,,,Tecoh Municipality,,
53,Qutb Shahi,,,,Ahmadnagar,,
54,Ahom kingdom or Kingdom of Ass,,,,Charaideo,,
55,Ahom kingdom or Kingdom of Ass,,,,Jorh,,
56,Ahom kingdom or Kingdom of Ass,,,,Rangpur (Ahom capital),,
57,Ahom kingdom or Kingdom of Ass,,,,Garhgaon,,
