country,name,longName,foundingDate,population,capital,largestCity,area
14,Abkhazi,Republic of Abkhazi,6/20/1990,242862.0,Sukhum,,0.003344km
15,Abkhazi,Republic of Abkhazi,8/25/1990,242862.0,Sukhum,,0.003344km
16,Abkhazi,Republic of Abkhazi,8/26/2008,242862.0,Sukhum,,0.003344km
17,Abyei,Abyei Ar,1/9/2005,,Abyei (town),,0.004072km
18,Abyei,Abyei Ar,8/31/2008,,Abyei (town),,0.004072km
31,Adélie Land,Adélie Land,,,,,432000km
36,Adjar,Autonomous Republic of Ajar,,393700.0,Batum,,0.00112km
38,Aeric,Aerican Empir,5/8/1987,,Montre,,9000000km
41,Afghanist,Islamic Republic of Afghanist,8/19/1919,32564342.0,Kabu,Kabu,0.251827km
42,Afghanist,font-size:88%;,8/19/1919,32564342.0,Kabu,Kabu,0.251827km
44,,,6/3/1991,1053136000.0,,N,29865860km
45,,,6/3/1991,1053136000.0,,Lago,29865860km
63,Akrotiri and Dhekeli,Sovereign Base Areas,,7700.0,Episkopi Cantonmen,,9.8e-05km
64,Akrotiri and Dhekeli,f,,7700.0,Episkopi Cantonmen,,9.8e-05km
65,Akrotiri and Dhekeli,Akrotiri and Dhekeli,,7700.0,Episkopi Cantonmen,,9.8e-05km
68,Åland,Åland Islands,5/7/1920,28666.0,Mariehamn,,0.00061km
73,,Republic of Albani,4/7/1939,2893005.0,Tiran,Tiran,0.0111km
74,,Republic of Albani,11/29/1941,2893005.0,Tiran,Tiran,0.0111km
82,Alderney,Alderney,,2013.0,"Saint Anne, Alderney",,3e-06km
84,,People's Democratic Republic of Algeri,7/3/1962,40400000.0,Algiers,,0.919595km
85,,People's Democratic Republic of Algeri,7/5/1962,40400000.0,Algiers,,0.919595km
106,American Samo,Territory of American S,1889-06-14,54343.0,Pago Pago,,7.683e-05km
107,American Samo,Territory of American S,1899-12-02,54343.0,Pago Pago,,7.683e-05km
116,,Principality of Andorr,,85470.0,Andorra la Ve,,0.00018055000000000002km
124,,Republic of A,11/11/1975,,Luand,,0.481354km
125,Anguill,Angui,,13600.0,"The Valley, Angu",,91km
131,Anjou,Autonomous Island of Anjou,,277500.0,Mutsamudu,,0.000163km
134,,Antigua and Barbud,2/27/1967,91295.0,"St. John's, Antigua and Barbud",,0.00017km
135,,Antigua and Barbud,11/1/1981,91295.0,"St. John's, Antigua and Barbud",,0.00017km
143,,League of Arab States,3/22/1945,423000000.0,,,5.07042km
158,Argenti,Argentine Republic,1810-05-25,43417000.0,Buenos Aires,,2780400km
159,Argenti,Argentine Republic,1816-07-09,43417000.0,Buenos Aires,,2780400km
163,Armeni,Republic of Armeni,,,Yerevan,,0.011484km
175,Arub,Arub,3/18/1986,103400.0,"Oranjestad, Arub",,6.908e-05km
176,Ascension Island,Ascension Island,9/12/1922,880.0,"Georgetown, Ascension Island",,88km
180,Ashantiland,(Asanteman),,11700000.0,Kumas,Kum,120761km
181,Ashantiland,Ashantiland,,11700000.0,Kumas,Kum,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000.0,Kumas,Kum,120761km
185,,,8/8/1967,625000000.0,,,1.712602km
186,,,12/16/2008,625000000.0,,,1.712602km
203,Austenasi,Empire of Austenasi,9/20/2008,,Carshalton,,0.2327km
204,Australi,Commonwealth of Australi,1/1/1901,,Canberr,Sydn,7692024km
205,Australi,Commonwealth of Australi,9/3/1939,,Canberr,Sydn,7692024km
206,Australi,Commonwealth of Australi,10/9/1942,,Canberr,Sydn,7692024km
207,the Australian Antarctic Territory,Australian Antarctic Territory,,,Davis Station,,5896500km
209,Austri,Republic of Austri,,8662588.0,Vienn,,0.0323859km
221,Kosovo and Metohij,Kosovo and Metohij,,1804838.0,Pristin,,0.004212km
222,Kosovo and Metohij,Autonomous Province of,,1804838.0,Pristin,,0.004212km
224,Cri,Autonomous Republic of Cri,2/12/1991,,Simferopo,,0.010038km
225,Cri,Autonomous Republic of Cri,10/21/1998,,Simferopo,,0.010038km
230,Avatel,,,,,,5.4e-06km
231,Awdalland,Awdalland,,,Boram,,6122km
251,Azerbaij,Republic of Azerbaij,5/28/1918,9624900.0,Baku,,0.033436km
252,Azerbaij,Republic of Azerbaij,4/28/1920,9624900.0,Baku,,0.033436km
280,Bahrai,Kingdom of Bahrai,8/14/1971,1343000.0,Manam,,0.00029537km
281,Bahrai,Kingdom of Bahrai,8/15/1971,1343000.0,Manam,,0.00029537km
282,Guernsey,Bailiwick of Guernsey,,65849.0,,,3.01e-05km
293,,Baltic states,,6177650.0,,,0.067523km
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745.0,Dhak,Dhak,0.056977km
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745.0,Dhak,Dhak,0.056977km
306,Barbados,Barbados,11/30/1966,,Bridgetown,,0.000166km
309,Barotseland,Kingdom of Barotseland,,5153405.0,,,368823km
310,Barotziland-North-Western Rhodesi,,1899-11-28,,"Livingstone, Zamb",,0.182km
311,Barotziland-North-Western Rhodesi,,1899-11-28,,Kalomo,,0.182km
312,Basque Country,Basque Country,,3000000.0,Vitoria-Gasteiz,Bilbao,20947km
323,,,5/14/1997,1465236000.0,,,3499559km
324,,,1/31/2015,1465236000.0,,,3499559km
327,Belarus,Republic of Belarus,7/27/1990,9498700.0,Minsk,,0.080155km
328,Belarus,Republic of Belarus,8/25/1991,9498700.0,Minsk,,0.080155km
334,Belgiu,Kingdom of Belgiu,1830-10-04,,City of Brussels,,0.011787km
335,Belgiu,Kingdom of Belgiu,1839-04-19,,City of Brussels,,0.011787km
337,Beliz,Beliz,9/21/1981,347369.0,Belmopan,Belize ,0.008867km
341,Beni,Republic of Beni,8/1/1960,10879829.0,Porto-Novo,otonou,114763km
348,Bermud,Bermud,,,"Hamilton, Bermud",,2.0600000000000003e-05km
360,Bhut,Kingdom of Bhut,12/17/1907,742737.0,Thimphu,,0.014824km
361,Bhut,Kingdom of Bhut,8/8/1949,742737.0,Thimphu,,0.014824km
406,Bolivi,Plurinational State of Bolivi,1825-08-06,11410651.0,Sucre,Santa Cruz de la S,0.424163km
407,Bolivi,Plurinational State of Bolivi,1847-07-21,11410651.0,Sucre,Santa Cruz de la S,0.424163km
413,Bosnia and Herzegovi,Bosnia and Herzegovi,3/1/1992,,Sarajevo,,0.019741km
415,Botsw,Republic of Botsw,9/30/1966,2155784.0,Gaborone,,0.22461km
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
423,Brazil,Federative Republic of Brazi,1822-09-07,205338000.0,Brasí,São Paulo,3.287597km
424,Brazil,Federative Republic of Brazi,1825-08-29,205338000.0,Brasí,São Paulo,3.287597km
430,the British Antarctic Territory,British Antarctic Territory,,250.0,London,,0.66km
431,the British Antarctic Territory,British Antarctic Territory,,250.0,Rothera Research Station,,0.66km
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000.0,,,0.021004km
457,,,,250000.0,,,1727570km
464,British Virgin Islands,Virgin Islands,,,Road Town,,5.9e-05km
469,Brunei,"tion of Brunei, Abode of Peac",,415717.0,Bandar Seri Begawan,Bandar Seri Begawan,0.002226km
477,Bulgari,Republic of Bulgari,,,Sof,,0.042823km
485,Bunyoro,Bunyoro-Kitara Kingd,,1400000.0,Hoim,Masind,0.003241km
486,,,,27000000.0,,Acc,238535km
492,,Burkina Fas,,17322796.0,Ouagadougou,,0.105869km
494,Burundi,Republic of Burundi,7/1/1962,11178921.0,Bujumbur,,27834km
520,,,4/21/1907,50000.0,,São Gabriel da Cacho,160000km
521,,,11/15/1928,50000.0,,São Gabriel da Cacho,160000km
527,Cambodi,Kingdom of Cambodi,,15458332.0,Phnom Penh,,0.069898km
